SERIES_CODE,Country,year_month,cpi_pop_alltime
ABW,"Aruba, Kingdom of the Netherlands",2019-01-01,-0.43238993710691
ABW,"Aruba, Kingdom of the Netherlands",2019-02-01,0.421800652440409
ABW,"Aruba, Kingdom of the Netherlands",2019-03-01,1.38940616594248
ABW,"Aruba, Kingdom of the Netherlands",2019-04-01,0.846912849606643
ABW,"Aruba, Kingdom of the Netherlands",2019-05-01,0.361215383525745
ABW,"Aruba, Kingdom of the Netherlands",2019-06-01,0.81661457808247
ABW,"Aruba, Kingdom of the Netherlands",2019-07-01,0.0559999999999974
ABW,"Aruba, Kingdom of the Netherlands",2019-08-01,-0.254857279923238
ABW,"Aruba, Kingdom of the Netherlands",2019-09-01,0.197392811695276
ABW,"Aruba, Kingdom of the Netherlands",2019-10-01,0.487009740194799
ABW,"Aruba, Kingdom of the Netherlands",2019-11-01,0.0447828034034948
ABW,"Aruba, Kingdom of the Netherlands",2019-12-01,1.12603203023973
ABW,"Aruba, Kingdom of the Netherlands",2020-01-01,-0.103283429403321
ABW,"Aruba, Kingdom of the Netherlands",2020-02-01,0.173301692645511
ABW,"Aruba, Kingdom of the Netherlands",2020-03-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2020-04-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2020-05-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2020-06-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2020-07-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2020-08-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2020-09-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2020-10-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2020-11-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2020-12-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2021-01-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2021-02-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2021-03-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2021-04-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2021-05-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2021-06-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2021-07-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2021-08-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2021-09-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2021-10-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2021-11-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2021-12-01,NA
ABW,"Aruba, Kingdom of the Netherlands",2022-01-01,NA
