"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2019-M01","2019-M02","2019-M03","2019-M04","2019-M05","2019-M06","2019-M07","2019-M08","2019-M09","2019-M10","2019-M11","2019-M12","2020-M01","2020-M02","2020-M03","2020-M04","2020-M05","2020-M06","2020-M07","2020-M08","2020-M09","2020-M10","2020-M11","2020-M12","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12"
"IMF.STA:CPI(3.0.1)","ABW.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Aruba, Kingdom of the Netherlands","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","-0.43238993710691","0.421800652440409","1.38940616594248","0.846912849606643","0.361215383525745","0.81661457808247","0.0559999999999974","-0.254857279923238","0.197392811695276","0.487009740194799","0.0447828034034948","1.12603203023973","-0.103283429403321","0.173301692645511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","CUW.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Curaçao, Kingdom of the Netherlands","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","-0.152905198776771","-0.535987748851446","-0.307929176289458","0.772200772200772","0.919540229885049","0.835231586940033","-0.22590361445784","0.226415094339631","0.602409638554204","0.0","0.0748502994011934","0.074794315632029","0.149476831091172","-0.298507462686571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","OMN.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Oman","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","-0.1885014137605567","0.0","-0.1","0.2002002002002002","0.2997002997002997","0.09960159362549802","0.3980099502487562","0.09910802775024777","-0.396039603960396","0.1988071570576541","0.0","-0.09920634920634921","0.09930486593843098","-0.2976190476190476","-0.3980099502487562","-0.3996003996003996","0.1003009027081244","0.3006012024048096","0.0999000999000999","0.0998003992015968","-0.4985044865403789","0.0","0.1002004008016032","-0.1001001001001001","0.0","-0.1002004008016032","1.003009027081244","0.7944389275074479","0.09852216748768473","0.0984251968503937","0.688298918387414","-0.1953125","-0.2935420743639922","0.9813542688910697","0.2915451895043732","0.1937984496124031","0.5802707930367506","-0.4807692307692308","0.1932367149758454","0.3857280617164899","-0.09606147934678194","0.1923076923076923","0.3838771593090211","-0.3824091778202677","-0.09596928982725528","1.056676272814601","-0.09505703422053231","-0.1902949571836346","0.7626310772163966","-0.3784295175023652","-0.0949667616334283","-0.1901140684410646","-0.1904761904761905","0.2862595419847328","-0.3805899143672693","0.2865329512893983","0.6666666666666667","-0.0946073793755913","0.1893939393939394","-0.1890359168241966","0.0","-0.2840909090909091","0.0949667616334283","0.09487666034155598","0.2843601895734597","0.0945179584120983","0.3777148253068933","-0.1881467544684854","0.0","0.2827521206409048","-0.09398496240601505",""
"IMF.STA:CPI(3.0.1)","SYR.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Syrian Arab Republic","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","1.819526627218935","1.220398082231585","3.6290129658868","-0.2804773886747155","-0.04861392441692228","0.1771797158176323","0.7467690102420641","0.9994033412887828","4.137554957227088","0.8225604101892762","2.707235525162575","14.96402271362501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","MMR.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Myanmar","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","0.0946190615425528","0.644409775069876","0.863854713057038","1.26505887162113","1.06978038332711","0.585602040894197","2.5160237913195","0.426199089876291","0.460985349214646","0.45732572837497","0.418173725513032","0.286705737102362","-0.237409218035137","-0.0277339033431906","-0.762601525203044","-0.0392228362195482","0.0762322409318373","0.540363401680177","0.0992374014416934","0.563772767653567","0.649195228138035","-0.0659106733452566","-0.108973300258429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","KHM.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Cambodia","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","-0.0240569117798678","0.8284444037033643","0.2591056310017615","0.3264454847375401","0.1886771135791032","-0.388484178713999","0.4522632976164196","0.5837737932899822","-0.0302517618850209","-0.1087151439074688","0.1352003321103594","0.8151488837222332","0.4717977215893304","-0.08019955862587735","0.4483709189943206","-0.5808314596834634","0.6390998281691702","0.4367629968661016","0.3608326570005922","-0.1234878206038882","0.4218001181696829","0.7360031379556436","0.1032934941322806","0.01296589429554676","0.1987846049966239","-0.9229458793593289","0.7900707907781545","0.06910215782285015","0.8750492282626874","0.201622607402812","0.9286934244235696","-0.05288207297726071","-0.002645502645502646","0.7206539855551733","0.9240532263063612","-0.07131108288742218","0.5839180327014935","1.191092698083894","1.617195496417605","0.1218775181305399","0.7977786943793322","0.7999481006846717","-1.341643934630751","-0.4691867262809801","-0.4814818549403568","-0.05522034945868859","0.5068886162954552","-0.40649176425495","0.6593206263039559","0.4688647637062452","0.1231786089830254","0.4881073836243974","0.2030537694344355","0.3963444919042416","0.4378197073286567","0.8570457534368027","0.0195347792325762","0.07128801824192028","-0.6494298581598349","-0.380123564714318","-2.47727317544517","0.6591884500477709","0.452986345123366","0.9533808273965754","0.7992789651962047","0.006878052135635188","0.374828060522696","","","","",""
"IMF.STA:CPI(3.0.1)","IDN.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Indonesia","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","0.3249870743777236","-0.08098358241920046","0.1105216622458002","0.441598586884522","0.6814684546054078","0.5531295487627365","0.3112333526346265","0.1154484450537557","-0.2738738738738739","0.02168100021681","0.1445086705202312","0.3391053391053391","0.287624937082045","0.2796300279630028","0.0950950950950951","0.07636096090518812","0.06680946952852929","0.1811781573325439","-0.1046654443831325","-0.04768336534794958","-0.04763480364192319","0.0667775821378529","0.2763431446081717","0.4467891473750071","0.2554566792472062","0.103786220155284","0.08491772361255795","0.1318490508066329","0.3198636374512815","-0.1593868097593554","0.07511289770663249","0.0281549717046045","-0.03748260112405688","0.1219694591844688","0.365673023514164","0.5698501409427019","0.5573107342591505","-0.01851782755480379","0.6559842320520033","0.9453627174595154","0.4000688319717707","0.606789785987539","0.6391549041604325","-0.2057436948757442","1.165200472275282","-0.1063038726686381","0.08863660187437221","0.6557674792889367","0.3419806428287785","0.1575113211262059","0.1769215647729507","0.3335949764521193","0.08716343959840928","0.1393270224727518","0.2086672356014404","-0.0173310900281971","0.1909347231771122","0.173269796754658","0.3804824533032501","0.4135160528259186","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","MAC.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","0.1494470459300588","0.6864305610823717","-0.4050983104436321","0.2579365079365079","0.2770631308133782","0.2960331557134399","0.2164502164502165","0.3043392892204987","0.2055397866301263","0.2930259816370385","0.04869497467861317","0.2044193516986275","0.5634350106858363","0.03863987635239567","-0.2510621861722673","-0.1645692158760891","-0.0969649956365752","-0.4270600795884694","-0.4386392435909933","0.06853338554924614","-0.2348106838861168","-0.05884083553986467","-0.07850063781768227","0.2160463517627418","0.2449779519843214","0.2737047898338221","-0.282706180542016","0.1759702805748362","0.03903581536059334","-0.0097551458394303","0.02926829268292683","0.07802594362625573","0.1949127765325017","0.02847843594981033","0.2147279452310526","0.006046316467234554","0.2393010974357761","0.08853948042341102","-0.01527652877670991","0.1609366409665109","0.08359090977141677","0.2106133682328529","0.08431238825817536","-0.1698194097039051","0.1914027667760868","-0.08613083363139432","-0.02887947631882942","0.005194299470389986","0.2391981675311396","-0.3225182781986376","0.04143853101874464","0.1213913519999822","0.1319842084235243","0.09335296847613514","0.07133542330909987","0.006746463618480931","0.05437516515066487","0.1461667803190286","0.02476187670574604","0.2422597184545084","-0.1500123765583681","0.5144091895240505","-0.2410657440247152","-0.01727152929126576","0.001405041946793465","-0.01315364165940512","0.2160632188075973","","","","",""
"IMF.STA:CPI(3.0.1)","NPL.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Nepal","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","-0.3618235908981266","0.2420916720464816","-0.1046530349380132","0.5802240309452817","1.193814598189248","1.140142517814727","0.6341005166744951","2.582652664332944","-0.1516645180859938","0.6759322548796233","0.196137598068799","-0.2333985845505195","-0.0981058033355973","0.2870524248375888","-0.2711660138595963","0.6193353474320242","0.3377871190511935","-0.09725443255779158","0.8611651939493785","1.328977652386963","0.835287221570926","-0.02906554279901177","0.4433783980229685","-1.302554454012591","0.5205660239020456","-0.5543398978847557","0.05134223265365997","0.689099039659849","0.866399708773207","0.43308791684712","0.8552537013080351","1.489346540297869","0.0","0.7021485746383935","2.175428810486682","-0.3070833902006278","-0.8556369361352592","0.006904170118751726","0.8974801518812565","0.8142319534724598","1.425274874440071","1.070663811563169","0.4171080508474576","1.661501945012198","0.3502172644140346","0.5622697602274931","1.786632390745501","-0.9534032074756914","-0.9625804806527698","0.5792996910401648","0.4863688723921669","1.11450770602471","1.095924922844366","0.529562021057878","0.9853743182944968","1.742865909788279","0.9771397551118886","-0.08362702347530016","-0.2152209003407664","-1.366005631777605","-0.6742392030614104","0.3546966731898239","0.2925045703839122","0.9174869364442824","0.8971039797700042","0.3043322592194773","0.4045451841275507","","","","",""
"IMF.STA:CPI(3.0.1)","BDI.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Burundi","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","0.9182736455463728","-1.00090991810737","0.7352941176470588","1.45985401459854","0.4496402877697842","-2.596239928379588","0.6433823529411765","0.8219178082191781","0.9057971014492754","0.5385996409335727","0.7142857142857143","1.329787234042553","1.137357830271216","1.29757785467128","0.2561912894961571","1.873935264054514","1.839464882943144","-3.284072249589491","-0.08488964346349745","-0.1699235344095157","0.5106382978723404","1.185436071126164","2.594142259414226","0.4078303425774878","-0.1624695369618197","0.8136696501220504","2.017756255044391","0.7120253164556962","1.728201099764336","-0.7722007722007722","0.3891050583657588","0.6201550387596899","0.6163328197226502","0.5359877488514548","1.447067783701447","1.651651651651652","1.846381093057607","1.812907904278463","1.068376068376068","4.228329809725159","2.772143340094659","-0.5263157894736842","1.653439153439153","0.9759271307742355","1.675257731958763","1.584283903675539","5.364940736119775","1.598579040852575","3.438228438228438","1.464788732394366","4.553026096612993","3.876792352628784","0.1022494887525562","-1.940755873340143","0.78125","3.255813953488372","0.05005005005005005","1.350675337668834","0.2961500493583416","1.328740157480315","1.311316172899466","1.677852348993289","1.225836869401226","2.095947834187238","0.5018248175182481","1.044030866999546","3.189577717879605","2.82977797126687","4.360711261642676","2.718052738336714","3.39652448657188","7.372039724980901"
